"title","country","state","city","address","max_guest","category","price","bedroom","washroom","bed","detail","title_photo","photos","phone","tags","check_tips","create_date","status","views","loves","users_id"
"503＃長期滞在歓迎★在宅ワーク★インターネット環境良好★好立地道頓堀・心斎橋/難波/USJ",日本,大阪,大阪,"日本, 大阪, 中央区",2,"1",569.0,2,1,2,"このお部屋は道頓堀から歩いて5分以内、ショッピング、お食事等、便利な場所にあります。難波、心斎橋も徒歩圏内です。コンビニ、コインパーキングも近隣に多数あります。
ダブルベッド1台、キッチンもあり簡単な調理が可能です。
設備品
エアコン、テレビ、wifi、調理器具、ヘアードライヤー、シャンプー、コンディショナー、ボディソープ、洗顔","3d493710-5516-48e5-940b-90c5cf201b34.png","c1616152-ea2f-4556-9880-138b57d09b97.png,a785778f-5523-4fc3-bd10-94b6a5217777.png,5f66e549-ae4d-49ed-bd64-f9004e370261.png,3184ea77-9ac8-4aa1-961f-6c9bc70ff047.png,be565ad1-6eaa-48cc-8542-36aa4507f756.png,41124b2a-e78c-42b5-a150-ccb4dff82a40.png,ea1827e7-c338-4610-83d8-9186459336cf.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:32:37",,0,0,2
二环内皇城核心区 鸣蜩 地铁灯市口站@重构空间～胡同里的生活 卫生间干湿分区有办公桌 网红咖啡厅,中国,北京,北京,"中国, 北京市, 东城区, 演乐胡同",2,"4",951.0,1,1,2,重构空间民宿，紧临灯市口、东四地铁站，离北京百分之八十的重要景点(天安门，故宫，王府井，南锣鼓巷)，距离均不超过三公里交通方便，地理位置优越。房间内所有设施比照五星级酒店标准精心打造，同时又保留了北京胡同民宿特有的情调，历时一年，精雕细琢。,"54e3bccc-2fb2-41d6-bbec-2aacfb190006.png","f2d8fc9d-faad-4ac9-9db6-0f77ec8b3908.png,48aaf153-002d-426e-963c-7f3859d0f5bf.png,d924f929-5839-47b9-b328-7e5e612e660e.png,46f3412b-487b-49d6-92b9-85670939428e.png,ecf6aa84-5c2c-4ace-b87a-a8b2b750345a.png,51e5c933-b52e-44eb-8c67-123bf4b4c8f6.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:36:36",,0,0,2
武康路全屋地暖底楼独门入户私家庭院金奖设计师作品 三米层高 全套国际品牌电器,中国,上海,上海,"中国, 上海市, 徐汇区，弄堂口，近武康路历史文化名街",3,"3",345.0,2,1,5,"【老房子华丽变身后的精致小院】
距离世界上仅存的3栋船型建筑之一武康大楼步行300米，此房位于充满浓浓历史情怀的衡复文化区核心区域 — 武康路兴国路泰安路交汇处,漫步于梧桐大道间,感受衡复文化区的情怀,穿越百年历史,多少名人在此留下他们的足迹。
黄兴故居、霞飞别墅近在咫尺，热门老洋房改造而成的休闲区武康庭，仅需步行200多米。武康路还遍布各式美食餐厅:沪上最棒的法棍店、意大利菜、西班牙小食、正宗泰餐,各国美食应有尽有。
酒吧、咖啡馆、画廊、茶馆、知名买手店等也等待着您去发掘体验。
踏上单车,可恣意悠游衡复文化区;步行十分钟可到交通大学或上海图书馆地铁站,不论到外滩、田子坊、思南公馆、人民广场等各知名景点,皆能快速便利到达。

金奖设计师量身设计,家电全新,全屋地暖,窗多明亮。",de6a87e6-d560-4ff4-a5ee-9bd53010bf55.png,"e8fe5442-fca2-46d6-941f-cc1602c9e6ad.png,f430f0d3-8f9e-466e-8c92-0c092628763c.png,9ab6c67f-7e57-46a2-8199-219bd1cb5061.png,e5fa9cb8-a6fc-4746-b7cc-d3a849cb552a.png,52aebddc-3912-46c5-b363-76ceb9f609a5.png,ff40765b-afdf-4abf-b4de-1122bb5dd915.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:40:29",,0,0,2
西門捷運2分鐘-特色斜窗浴缸雙人房型-24h櫃台,中国,台湾省,台北,"西本願寺公園對面, 7-11/郵局/紅樓皆在步行1分鐘可抵達的範圍內",2,"1",403.0,1,2,2,"一張標準雙人床, 每間房皆有大面對外窗及自然光和自己的衛浴設備無需跟他人共享喔, 適合2-3位旅客入住(第3位另加價台幣500元或人數直接選3位即可)
請諒解您的訂單會是依照當天房況安排的, 恕無法指定房間 :D
- 西門捷運站1號出口步行2分鐘
- 西門町鬧區步行2分鐘
- 家樂福商場步行5分鐘
- 台北車站步行15分鐘
- 峨嵋停車場步行3分鐘",cb97ea75-8e13-4560-98e4-a147df545e2e.png,"fff1caf3-d0fa-4c06-8ca0-2fd75be83e58.png,d549fcaa-7c73-4a36-af9a-cfb140beff81.png,0f82d48d-4448-4486-90fb-1cfd52b38254.png,8f3b3837-2b3b-420b-8391-42254b74aeab.png,5ebcb9a9-d19b-4641-8430-773cd3f8f8df.png,93fb4da8-e5a6-4978-82a7-4771d10c33cd.png,51a0f4ac-14ba-45a0-9fa2-375f4875d5ac.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-20 22:08:08",,0,0,2
"503＃長期滞在歓迎★在宅ワーク★インターネット環境良好★好立地道頓堀・心斎橋/難波/USJ",日本,大阪,大阪,"日本, 大阪, 中央区",2,"1",569.0,2,1,2,"このお部屋は道頓堀から歩いて5分以内、ショッピング、お食事等、便利な場所にあります。難波、心斎橋も徒歩圏内です。コンビニ、コインパーキングも近隣に多数あります。
ダブルベッド1台、キッチンもあり簡単な調理が可能です。
設備品
エアコン、テレビ、wifi、調理器具、ヘアードライヤー、シャンプー、コンディショナー、ボディソープ、洗顔","3d493710-5516-48e5-940b-90c5cf201b34.png","c1616152-ea2f-4556-9880-138b57d09b97.png,a785778f-5523-4fc3-bd10-94b6a5217777.png,5f66e549-ae4d-49ed-bd64-f9004e370261.png,3184ea77-9ac8-4aa1-961f-6c9bc70ff047.png,be565ad1-6eaa-48cc-8542-36aa4507f756.png,41124b2a-e78c-42b5-a150-ccb4dff82a40.png,ea1827e7-c338-4610-83d8-9186459336cf.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:32:37",,0,0,2
二环内皇城核心区 鸣蜩 地铁灯市口站@重构空间～胡同里的生活 卫生间干湿分区有办公桌 网红咖啡厅,中国,北京,北京,"中国, 北京市, 东城区, 演乐胡同",2,"4",951.0,1,1,2,重构空间民宿，紧临灯市口、东四地铁站，离北京百分之八十的重要景点(天安门，故宫，王府井，南锣鼓巷)，距离均不超过三公里交通方便，地理位置优越。房间内所有设施比照五星级酒店标准精心打造，同时又保留了北京胡同民宿特有的情调，历时一年，精雕细琢。,"54e3bccc-2fb2-41d6-bbec-2aacfb190006.png","f2d8fc9d-faad-4ac9-9db6-0f77ec8b3908.png,48aaf153-002d-426e-963c-7f3859d0f5bf.png,d924f929-5839-47b9-b328-7e5e612e660e.png,46f3412b-487b-49d6-92b9-85670939428e.png,ecf6aa84-5c2c-4ace-b87a-a8b2b750345a.png,51e5c933-b52e-44eb-8c67-123bf4b4c8f6.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:36:36",,0,0,2
武康路全屋地暖底楼独门入户私家庭院金奖设计师作品 三米层高 全套国际品牌电器,中国,上海,上海,"中国, 上海市, 徐汇区，弄堂口，近武康路历史文化名街",3,"3",345.0,2,1,5,"【老房子华丽变身后的精致小院】
距离世界上仅存的3栋船型建筑之一武康大楼步行300米，此房位于充满浓浓历史情怀的衡复文化区核心区域 — 武康路兴国路泰安路交汇处,漫步于梧桐大道间,感受衡复文化区的情怀,穿越百年历史,多少名人在此留下他们的足迹。
黄兴故居、霞飞别墅近在咫尺，热门老洋房改造而成的休闲区武康庭，仅需步行200多米。武康路还遍布各式美食餐厅:沪上最棒的法棍店、意大利菜、西班牙小食、正宗泰餐,各国美食应有尽有。
酒吧、咖啡馆、画廊、茶馆、知名买手店等也等待着您去发掘体验。
踏上单车,可恣意悠游衡复文化区;步行十分钟可到交通大学或上海图书馆地铁站,不论到外滩、田子坊、思南公馆、人民广场等各知名景点,皆能快速便利到达。

金奖设计师量身设计,家电全新,全屋地暖,窗多明亮。",de6a87e6-d560-4ff4-a5ee-9bd53010bf55.png,"e8fe5442-fca2-46d6-941f-cc1602c9e6ad.png,f430f0d3-8f9e-466e-8c92-0c092628763c.png,9ab6c67f-7e57-46a2-8199-219bd1cb5061.png,e5fa9cb8-a6fc-4746-b7cc-d3a849cb552a.png,52aebddc-3912-46c5-b363-76ceb9f609a5.png,ff40765b-afdf-4abf-b4de-1122bb5dd915.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:40:29",,0,0,2
西門捷運2分鐘-特色斜窗浴缸雙人房型-24h櫃台,中国,台湾省,台北,"西本願寺公園對面, 7-11/郵局/紅樓皆在步行1分鐘可抵達的範圍內",2,"1",403.0,1,2,2,"一張標準雙人床, 每間房皆有大面對外窗及自然光和自己的衛浴設備無需跟他人共享喔, 適合2-3位旅客入住(第3位另加價台幣500元或人數直接選3位即可)
請諒解您的訂單會是依照當天房況安排的, 恕無法指定房間 :D
- 西門捷運站1號出口步行2分鐘
- 西門町鬧區步行2分鐘
- 家樂福商場步行5分鐘
- 台北車站步行15分鐘
- 峨嵋停車場步行3分鐘",cb97ea75-8e13-4560-98e4-a147df545e2e.png,"fff1caf3-d0fa-4c06-8ca0-2fd75be83e58.png,d549fcaa-7c73-4a36-af9a-cfb140beff81.png,0f82d48d-4448-4486-90fb-1cfd52b38254.png,8f3b3837-2b3b-420b-8391-42254b74aeab.png,5ebcb9a9-d19b-4641-8430-773cd3f8f8df.png,93fb4da8-e5a6-4978-82a7-4771d10c33cd.png,51a0f4ac-14ba-45a0-9fa2-375f4875d5ac.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-20 22:08:08",,0,0,2
"503＃長期滞在歓迎★在宅ワーク★インターネット環境良好★好立地道頓堀・心斎橋/難波/USJ",日本,大阪,大阪,"日本, 大阪, 中央区",2,"1",569.0,2,1,2,"このお部屋は道頓堀から歩いて5分以内、ショッピング、お食事等、便利な場所にあります。難波、心斎橋も徒歩圏内です。コンビニ、コインパーキングも近隣に多数あります。
ダブルベッド1台、キッチンもあり簡単な調理が可能です。
設備品
エアコン、テレビ、wifi、調理器具、ヘアードライヤー、シャンプー、コンディショナー、ボディソープ、洗顔","3d493710-5516-48e5-940b-90c5cf201b34.png","c1616152-ea2f-4556-9880-138b57d09b97.png,a785778f-5523-4fc3-bd10-94b6a5217777.png,5f66e549-ae4d-49ed-bd64-f9004e370261.png,3184ea77-9ac8-4aa1-961f-6c9bc70ff047.png,be565ad1-6eaa-48cc-8542-36aa4507f756.png,41124b2a-e78c-42b5-a150-ccb4dff82a40.png,ea1827e7-c338-4610-83d8-9186459336cf.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:32:37",,0,0,2
二环内皇城核心区 鸣蜩 地铁灯市口站@重构空间～胡同里的生活 卫生间干湿分区有办公桌 网红咖啡厅,中国,北京,北京,"中国, 北京市, 东城区, 演乐胡同",2,"4",951.0,1,1,2,重构空间民宿，紧临灯市口、东四地铁站，离北京百分之八十的重要景点(天安门，故宫，王府井，南锣鼓巷)，距离均不超过三公里交通方便，地理位置优越。房间内所有设施比照五星级酒店标准精心打造，同时又保留了北京胡同民宿特有的情调，历时一年，精雕细琢。,"54e3bccc-2fb2-41d6-bbec-2aacfb190006.png","f2d8fc9d-faad-4ac9-9db6-0f77ec8b3908.png,48aaf153-002d-426e-963c-7f3859d0f5bf.png,d924f929-5839-47b9-b328-7e5e612e660e.png,46f3412b-487b-49d6-92b9-85670939428e.png,ecf6aa84-5c2c-4ace-b87a-a8b2b750345a.png,51e5c933-b52e-44eb-8c67-123bf4b4c8f6.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:36:36",,0,0,2
武康路全屋地暖底楼独门入户私家庭院金奖设计师作品 三米层高 全套国际品牌电器,中国,上海,上海,"中国, 上海市, 徐汇区，弄堂口，近武康路历史文化名街",3,"3",345.0,2,1,5,"【老房子华丽变身后的精致小院】
距离世界上仅存的3栋船型建筑之一武康大楼步行300米，此房位于充满浓浓历史情怀的衡复文化区核心区域 — 武康路兴国路泰安路交汇处,漫步于梧桐大道间,感受衡复文化区的情怀,穿越百年历史,多少名人在此留下他们的足迹。
黄兴故居、霞飞别墅近在咫尺，热门老洋房改造而成的休闲区武康庭，仅需步行200多米。武康路还遍布各式美食餐厅:沪上最棒的法棍店、意大利菜、西班牙小食、正宗泰餐,各国美食应有尽有。
酒吧、咖啡馆、画廊、茶馆、知名买手店等也等待着您去发掘体验。
踏上单车,可恣意悠游衡复文化区;步行十分钟可到交通大学或上海图书馆地铁站,不论到外滩、田子坊、思南公馆、人民广场等各知名景点,皆能快速便利到达。

金奖设计师量身设计,家电全新,全屋地暖,窗多明亮。",de6a87e6-d560-4ff4-a5ee-9bd53010bf55.png,"e8fe5442-fca2-46d6-941f-cc1602c9e6ad.png,f430f0d3-8f9e-466e-8c92-0c092628763c.png,9ab6c67f-7e57-46a2-8199-219bd1cb5061.png,e5fa9cb8-a6fc-4746-b7cc-d3a849cb552a.png,52aebddc-3912-46c5-b363-76ceb9f609a5.png,ff40765b-afdf-4abf-b4de-1122bb5dd915.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:40:29",,0,0,2
西門捷運2分鐘-特色斜窗浴缸雙人房型-24h櫃台,中国,台湾省,台北,"西本願寺公園對面, 7-11/郵局/紅樓皆在步行1分鐘可抵達的範圍內",2,"1",403.0,1,2,2,"一張標準雙人床, 每間房皆有大面對外窗及自然光和自己的衛浴設備無需跟他人共享喔, 適合2-3位旅客入住(第3位另加價台幣500元或人數直接選3位即可)
請諒解您的訂單會是依照當天房況安排的, 恕無法指定房間 :D
- 西門捷運站1號出口步行2分鐘
- 西門町鬧區步行2分鐘
- 家樂福商場步行5分鐘
- 台北車站步行15分鐘
- 峨嵋停車場步行3分鐘",cb97ea75-8e13-4560-98e4-a147df545e2e.png,"fff1caf3-d0fa-4c06-8ca0-2fd75be83e58.png,d549fcaa-7c73-4a36-af9a-cfb140beff81.png,0f82d48d-4448-4486-90fb-1cfd52b38254.png,8f3b3837-2b3b-420b-8391-42254b74aeab.png,5ebcb9a9-d19b-4641-8430-773cd3f8f8df.png,93fb4da8-e5a6-4978-82a7-4771d10c33cd.png,51a0f4ac-14ba-45a0-9fa2-375f4875d5ac.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-20 22:08:08",,0,0,2
"503＃長期滞在歓迎★在宅ワーク★インターネット環境良好★好立地道頓堀・心斎橋/難波/USJ",日本,大阪,大阪,"日本, 大阪, 中央区",2,"1",569.0,2,1,2,"このお部屋は道頓堀から歩いて5分以内、ショッピング、お食事等、便利な場所にあります。難波、心斎橋も徒歩圏内です。コンビニ、コインパーキングも近隣に多数あります。
ダブルベッド1台、キッチンもあり簡単な調理が可能です。
設備品
エアコン、テレビ、wifi、調理器具、ヘアードライヤー、シャンプー、コンディショナー、ボディソープ、洗顔","3d493710-5516-48e5-940b-90c5cf201b34.png","c1616152-ea2f-4556-9880-138b57d09b97.png,a785778f-5523-4fc3-bd10-94b6a5217777.png,5f66e549-ae4d-49ed-bd64-f9004e370261.png,3184ea77-9ac8-4aa1-961f-6c9bc70ff047.png,be565ad1-6eaa-48cc-8542-36aa4507f756.png,41124b2a-e78c-42b5-a150-ccb4dff82a40.png,ea1827e7-c338-4610-83d8-9186459336cf.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:32:37",,0,0,2
二环内皇城核心区 鸣蜩 地铁灯市口站@重构空间～胡同里的生活 卫生间干湿分区有办公桌 网红咖啡厅,中国,北京,北京,"中国, 北京市, 东城区, 演乐胡同",2,"4",951.0,1,1,2,重构空间民宿，紧临灯市口、东四地铁站，离北京百分之八十的重要景点(天安门，故宫，王府井，南锣鼓巷)，距离均不超过三公里交通方便，地理位置优越。房间内所有设施比照五星级酒店标准精心打造，同时又保留了北京胡同民宿特有的情调，历时一年，精雕细琢。,"54e3bccc-2fb2-41d6-bbec-2aacfb190006.png","f2d8fc9d-faad-4ac9-9db6-0f77ec8b3908.png,48aaf153-002d-426e-963c-7f3859d0f5bf.png,d924f929-5839-47b9-b328-7e5e612e660e.png,46f3412b-487b-49d6-92b9-85670939428e.png,ecf6aa84-5c2c-4ace-b87a-a8b2b750345a.png,51e5c933-b52e-44eb-8c67-123bf4b4c8f6.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:36:36",,0,0,2
武康路全屋地暖底楼独门入户私家庭院金奖设计师作品 三米层高 全套国际品牌电器,中国,上海,上海,"中国, 上海市, 徐汇区，弄堂口，近武康路历史文化名街",3,"3",345.0,2,1,5,"【老房子华丽变身后的精致小院】
距离世界上仅存的3栋船型建筑之一武康大楼步行300米，此房位于充满浓浓历史情怀的衡复文化区核心区域 — 武康路兴国路泰安路交汇处,漫步于梧桐大道间,感受衡复文化区的情怀,穿越百年历史,多少名人在此留下他们的足迹。
黄兴故居、霞飞别墅近在咫尺，热门老洋房改造而成的休闲区武康庭，仅需步行200多米。武康路还遍布各式美食餐厅:沪上最棒的法棍店、意大利菜、西班牙小食、正宗泰餐,各国美食应有尽有。
酒吧、咖啡馆、画廊、茶馆、知名买手店等也等待着您去发掘体验。
踏上单车,可恣意悠游衡复文化区;步行十分钟可到交通大学或上海图书馆地铁站,不论到外滩、田子坊、思南公馆、人民广场等各知名景点,皆能快速便利到达。

金奖设计师量身设计,家电全新,全屋地暖,窗多明亮。",de6a87e6-d560-4ff4-a5ee-9bd53010bf55.png,"e8fe5442-fca2-46d6-941f-cc1602c9e6ad.png,f430f0d3-8f9e-466e-8c92-0c092628763c.png,9ab6c67f-7e57-46a2-8199-219bd1cb5061.png,e5fa9cb8-a6fc-4746-b7cc-d3a849cb552a.png,52aebddc-3912-46c5-b363-76ceb9f609a5.png,ff40765b-afdf-4abf-b4de-1122bb5dd915.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:40:29",,0,0,2
西門捷運2分鐘-特色斜窗浴缸雙人房型-24h櫃台,中国,台湾省,台北,"西本願寺公園對面, 7-11/郵局/紅樓皆在步行1分鐘可抵達的範圍內",2,"1",403.0,1,2,2,"一張標準雙人床, 每間房皆有大面對外窗及自然光和自己的衛浴設備無需跟他人共享喔, 適合2-3位旅客入住(第3位另加價台幣500元或人數直接選3位即可)
請諒解您的訂單會是依照當天房況安排的, 恕無法指定房間 :D
- 西門捷運站1號出口步行2分鐘
- 西門町鬧區步行2分鐘
- 家樂福商場步行5分鐘
- 台北車站步行15分鐘
- 峨嵋停車場步行3分鐘",cb97ea75-8e13-4560-98e4-a147df545e2e.png,"fff1caf3-d0fa-4c06-8ca0-2fd75be83e58.png,d549fcaa-7c73-4a36-af9a-cfb140beff81.png,0f82d48d-4448-4486-90fb-1cfd52b38254.png,8f3b3837-2b3b-420b-8391-42254b74aeab.png,5ebcb9a9-d19b-4641-8430-773cd3f8f8df.png,93fb4da8-e5a6-4978-82a7-4771d10c33cd.png,51a0f4ac-14ba-45a0-9fa2-375f4875d5ac.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-20 22:08:08",,0,0,2
"503＃長期滞在歓迎★在宅ワーク★インターネット環境良好★好立地道頓堀・心斎橋/難波/USJ",日本,大阪,大阪,"日本, 大阪, 中央区",2,"1",569.0,2,1,2,"このお部屋は道頓堀から歩いて5分以内、ショッピング、お食事等、便利な場所にあります。難波、心斎橋も徒歩圏内です。コンビニ、コインパーキングも近隣に多数あります。
ダブルベッド1台、キッチンもあり簡単な調理が可能です。
設備品
エアコン、テレビ、wifi、調理器具、ヘアードライヤー、シャンプー、コンディショナー、ボディソープ、洗顔","3d493710-5516-48e5-940b-90c5cf201b34.png","c1616152-ea2f-4556-9880-138b57d09b97.png,a785778f-5523-4fc3-bd10-94b6a5217777.png,5f66e549-ae4d-49ed-bd64-f9004e370261.png,3184ea77-9ac8-4aa1-961f-6c9bc70ff047.png,be565ad1-6eaa-48cc-8542-36aa4507f756.png,41124b2a-e78c-42b5-a150-ccb4dff82a40.png,ea1827e7-c338-4610-83d8-9186459336cf.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:32:37",,0,0,2
二环内皇城核心区 鸣蜩 地铁灯市口站@重构空间～胡同里的生活 卫生间干湿分区有办公桌 网红咖啡厅,中国,北京,北京,"中国, 北京市, 东城区, 演乐胡同",2,"4",951.0,1,1,2,重构空间民宿，紧临灯市口、东四地铁站，离北京百分之八十的重要景点(天安门，故宫，王府井，南锣鼓巷)，距离均不超过三公里交通方便，地理位置优越。房间内所有设施比照五星级酒店标准精心打造，同时又保留了北京胡同民宿特有的情调，历时一年，精雕细琢。,"54e3bccc-2fb2-41d6-bbec-2aacfb190006.png","f2d8fc9d-faad-4ac9-9db6-0f77ec8b3908.png,48aaf153-002d-426e-963c-7f3859d0f5bf.png,d924f929-5839-47b9-b328-7e5e612e660e.png,46f3412b-487b-49d6-92b9-85670939428e.png,ecf6aa84-5c2c-4ace-b87a-a8b2b750345a.png,51e5c933-b52e-44eb-8c67-123bf4b4c8f6.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:36:36",,0,0,2
武康路全屋地暖底楼独门入户私家庭院金奖设计师作品 三米层高 全套国际品牌电器,中国,上海,上海,"中国, 上海市, 徐汇区，弄堂口，近武康路历史文化名街",3,"3",345.0,2,1,5,"【老房子华丽变身后的精致小院】
距离世界上仅存的3栋船型建筑之一武康大楼步行300米，此房位于充满浓浓历史情怀的衡复文化区核心区域 — 武康路兴国路泰安路交汇处,漫步于梧桐大道间,感受衡复文化区的情怀,穿越百年历史,多少名人在此留下他们的足迹。
黄兴故居、霞飞别墅近在咫尺，热门老洋房改造而成的休闲区武康庭，仅需步行200多米。武康路还遍布各式美食餐厅:沪上最棒的法棍店、意大利菜、西班牙小食、正宗泰餐,各国美食应有尽有。
酒吧、咖啡馆、画廊、茶馆、知名买手店等也等待着您去发掘体验。
踏上单车,可恣意悠游衡复文化区;步行十分钟可到交通大学或上海图书馆地铁站,不论到外滩、田子坊、思南公馆、人民广场等各知名景点,皆能快速便利到达。

金奖设计师量身设计,家电全新,全屋地暖,窗多明亮。",de6a87e6-d560-4ff4-a5ee-9bd53010bf55.png,"e8fe5442-fca2-46d6-941f-cc1602c9e6ad.png,f430f0d3-8f9e-466e-8c92-0c092628763c.png,9ab6c67f-7e57-46a2-8199-219bd1cb5061.png,e5fa9cb8-a6fc-4746-b7cc-d3a849cb552a.png,52aebddc-3912-46c5-b363-76ceb9f609a5.png,ff40765b-afdf-4abf-b4de-1122bb5dd915.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:40:29",,0,0,2
西門捷運2分鐘-特色斜窗浴缸雙人房型-24h櫃台,中国,台湾省,台北,"西本願寺公園對面, 7-11/郵局/紅樓皆在步行1分鐘可抵達的範圍內",2,"1",403.0,1,2,2,"一張標準雙人床, 每間房皆有大面對外窗及自然光和自己的衛浴設備無需跟他人共享喔, 適合2-3位旅客入住(第3位另加價台幣500元或人數直接選3位即可)
請諒解您的訂單會是依照當天房況安排的, 恕無法指定房間 :D
- 西門捷運站1號出口步行2分鐘
- 西門町鬧區步行2分鐘
- 家樂福商場步行5分鐘
- 台北車站步行15分鐘
- 峨嵋停車場步行3分鐘",cb97ea75-8e13-4560-98e4-a147df545e2e.png,"fff1caf3-d0fa-4c06-8ca0-2fd75be83e58.png,d549fcaa-7c73-4a36-af9a-cfb140beff81.png,0f82d48d-4448-4486-90fb-1cfd52b38254.png,8f3b3837-2b3b-420b-8391-42254b74aeab.png,5ebcb9a9-d19b-4641-8430-773cd3f8f8df.png,93fb4da8-e5a6-4978-82a7-4771d10c33cd.png,51a0f4ac-14ba-45a0-9fa2-375f4875d5ac.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-20 22:08:08",,0,0,2
"503＃長期滞在歓迎★在宅ワーク★インターネット環境良好★好立地道頓堀・心斎橋/難波/USJ",日本,大阪,大阪,"日本, 大阪, 中央区",2,"1",569.0,2,1,2,"このお部屋は道頓堀から歩いて5分以内、ショッピング、お食事等、便利な場所にあります。難波、心斎橋も徒歩圏内です。コンビニ、コインパーキングも近隣に多数あります。
ダブルベッド1台、キッチンもあり簡単な調理が可能です。
設備品
エアコン、テレビ、wifi、調理器具、ヘアードライヤー、シャンプー、コンディショナー、ボディソープ、洗顔","3d493710-5516-48e5-940b-90c5cf201b34.png","c1616152-ea2f-4556-9880-138b57d09b97.png,a785778f-5523-4fc3-bd10-94b6a5217777.png,5f66e549-ae4d-49ed-bd64-f9004e370261.png,3184ea77-9ac8-4aa1-961f-6c9bc70ff047.png,be565ad1-6eaa-48cc-8542-36aa4507f756.png,41124b2a-e78c-42b5-a150-ccb4dff82a40.png,ea1827e7-c338-4610-83d8-9186459336cf.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:32:37",,0,0,2
二环内皇城核心区 鸣蜩 地铁灯市口站@重构空间～胡同里的生活 卫生间干湿分区有办公桌 网红咖啡厅,中国,北京,北京,"中国, 北京市, 东城区, 演乐胡同",2,"4",951.0,1,1,2,重构空间民宿，紧临灯市口、东四地铁站，离北京百分之八十的重要景点(天安门，故宫，王府井，南锣鼓巷)，距离均不超过三公里交通方便，地理位置优越。房间内所有设施比照五星级酒店标准精心打造，同时又保留了北京胡同民宿特有的情调，历时一年，精雕细琢。,"54e3bccc-2fb2-41d6-bbec-2aacfb190006.png","f2d8fc9d-faad-4ac9-9db6-0f77ec8b3908.png,48aaf153-002d-426e-963c-7f3859d0f5bf.png,d924f929-5839-47b9-b328-7e5e612e660e.png,46f3412b-487b-49d6-92b9-85670939428e.png,ecf6aa84-5c2c-4ace-b87a-a8b2b750345a.png,51e5c933-b52e-44eb-8c67-123bf4b4c8f6.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:36:36",,0,0,2
武康路全屋地暖底楼独门入户私家庭院金奖设计师作品 三米层高 全套国际品牌电器,中国,上海,上海,"中国, 上海市, 徐汇区，弄堂口，近武康路历史文化名街",3,"3",345.0,2,1,5,"【老房子华丽变身后的精致小院】
距离世界上仅存的3栋船型建筑之一武康大楼步行300米，此房位于充满浓浓历史情怀的衡复文化区核心区域 — 武康路兴国路泰安路交汇处,漫步于梧桐大道间,感受衡复文化区的情怀,穿越百年历史,多少名人在此留下他们的足迹。
黄兴故居、霞飞别墅近在咫尺，热门老洋房改造而成的休闲区武康庭，仅需步行200多米。武康路还遍布各式美食餐厅:沪上最棒的法棍店、意大利菜、西班牙小食、正宗泰餐,各国美食应有尽有。
酒吧、咖啡馆、画廊、茶馆、知名买手店等也等待着您去发掘体验。
踏上单车,可恣意悠游衡复文化区;步行十分钟可到交通大学或上海图书馆地铁站,不论到外滩、田子坊、思南公馆、人民广场等各知名景点,皆能快速便利到达。

金奖设计师量身设计,家电全新,全屋地暖,窗多明亮。",de6a87e6-d560-4ff4-a5ee-9bd53010bf55.png,"e8fe5442-fca2-46d6-941f-cc1602c9e6ad.png,f430f0d3-8f9e-466e-8c92-0c092628763c.png,9ab6c67f-7e57-46a2-8199-219bd1cb5061.png,e5fa9cb8-a6fc-4746-b7cc-d3a849cb552a.png,52aebddc-3912-46c5-b363-76ceb9f609a5.png,ff40765b-afdf-4abf-b4de-1122bb5dd915.png,","18500001111",,入住时间 下午4:00后、退房时间 中午12:00,"2022-03-21 12:40:29",,0,0,2
